标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
羊毛被100%澳洲纯羊毛羊绒被冬被单人保暖加厚10斤8斤双人春秋,https://item.taobao.com/item.htm?id=577031942988&ns=1&abbucket=10#detail,,红红红,亿梦花园,98.00,32人收货,江苏 南通,好评率：98.27%,"80.77%,92.29%,92.40%,",淘宝c店,5钻
恒源祥羊毛被1.8m加厚保暖秋冬被子2m床纯羊毛单双人学生冬芯,https://detail.tmall.com/item.htm?id=574758060661&ns=1&abbucket=10,"天猫,",黄红红,恒源祥脸谱专卖店,198.00,32人收货,,,"0.00%,3.50%,2.00%,",天猫店,
雅芳婷家纺加厚保暖抗菌羊毛复合冬被 被子被芯冬天棉床上用品,https://detail.tmall.com/item.htm?id=522668713917&ns=1&abbucket=10,"天猫,",红红红,雅芳婷旗舰店,659.00,31人收货,广东 惠州,,"32.77%,22.17%,25.32%,",天猫店,
Tontine澳洲羊毛被冬被澳大利亚进口加厚保暖被芯双人全纯棉子,https://detail.tmall.com/item.htm?id=575338140490&ns=1&abbucket=10,"天猫,",红红红,tontine旗舰店,999.00,30人收货,上海,,"100.00%,86.30%,86.42%,",天猫店,
玖丝纯100%绵羊绒被子秋冬被加厚保暖纯羊毛被芯全棉单双人澳毛,https://item.taobao.com/item.htm?id=577573579879&ns=1&abbucket=10#detail,"公益宝贝,",红红红,清河冰少,285.00,30人收货,河北 邢台,好评率：98.20%,"71.17%,65.32%,65.83%,",淘宝c店,4钻
正品100%纯驼绒被子冬被驼毛被加厚冬被被子羊绒被芯单双人定做,https://item.taobao.com/item.htm?id=20375200787&ns=1&abbucket=10#detail,"金牌卖家,15天退换,",红红红,环宇羊绒被871,445.50,30人收货,河北 邢台,好评率：99.41%,"52.84%,64.55%,58.08%,",淘宝c店,3钻
时尚羊毛被子冬被1.5米被子1.8米加厚保暖双人被芯儿童单人宿舍,https://item.taobao.com/item.htm?id=577726357967&ns=1&abbucket=10#detail,"金牌卖家,",红红红,杨凡1207,518.00,29人收货,江苏 南通,好评率：100.00%,"99.25%,99.10%,96.45%,",淘宝c店,2钻
罗莱家纺羊毛被冬天床上用品100%羊毛被子被芯保暖加厚单双人,https://detail.tmall.com/item.htm?id=558259227467&ns=1&abbucket=10,"天猫,",红红红,罗莱官方旗舰店,769.00,29人收货,江苏 南通,,"3.37%,8.65%,13.93%,",天猫店,
羊毛被100%澳洲纯羊毛驼毛加厚保暖单双人纯棉羊绒春秋冬子,https://item.taobao.com/item.htm?id=577559953342&ns=1&abbucket=10#detail,,红红红,蓝之梦时尚家纺,68.00,29人收货,江苏 南通,好评率：97.54%,"14.67%,19.31%,29.70%,",淘宝c店,3冠
恒源祥澳洲100%纯羊毛被冬被加厚8斤9斤保暖冬天棉春秋芯子,https://detail.tmall.com/item.htm?id=540685911694&ns=1&abbucket=10,"天猫,",黄红红,恒源祥凡士专卖店,199.00,29人收货,,,"0.00%,4.46%,8.54%,",天猫店,
远梦羊毛被 澳洲羊毛双层芯被加厚保暖双层锁温棉被纯色静音冬,https://item.taobao.com/item.htm?id=559925127964&ns=1&abbucket=10#detail,"金牌卖家,公益宝贝,",红红红,91木子林夕,259.00,28人收货,广东 东莞,好评率：99.84%,"44.21%,48.66%,39.78%,",淘宝c店,4钻
恒源祥全棉羊毛被纯羊毛被子9斤纯棉冬被保暖加厚澳秋冬芯,https://detail.tmall.com/item.htm?id=536080923720&ns=1&abbucket=10,"天猫,公益宝贝,",黄红红,恒源祥和气致祥专卖店,298.00,28人收货,,,"0.00%,7.53%,11.01%,",天猫店,
被子被芯冬被加厚保暖单人双人宿舍棉被褥澳洲绵羊毛子,https://item.taobao.com/item.htm?id=564533562706&ns=1&abbucket=10#detail,,蓝黄红,cdodo11,329.00,28人收货,浙江 宁波,好评率：96.80%,"0.64%,0.00%,14.22%,",淘宝c店,5钻
