标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
澳洲进口100%纯羊毛被 全棉加厚保暖羊绒被芯 单双人纯棉子母冬,https://item.taobao.com/item.htm?id=576941560009&ns=1&abbucket=10#detail,"公益宝贝,",红红红,等待花季13,68.00,8人收货,江苏 南通,好评率：100.00%,"80.26%,73.29%,70.76%,",淘宝c店,2钻
水星家纺婚庆馆旗舰店加厚保暖羊毛柔丝二合一子母被子春秋冬芯,https://detail.tmall.com/item.htm?id=539960146059&ns=1&abbucket=10,"天猫,",蓝蓝红,水星家纺婚庆馆旗舰店,429.00,8人收货,上海,,"0.73%,0.66%,6.95%,",天猫店,
岂爱罗莱驼毛被正品100%纯驼毛羊毛被春秋冬被加厚学生宿舍驼绒,https://item.taobao.com/item.htm?id=558643935108&ns=1&abbucket=10#detail,"公益宝贝,",红红红,慧爱富安娜家纺四件套,198.00,8人收货,,好评率：98.72%,"15.11%,24.70%,20.36%,",淘宝c店,4钻
加厚保暖澳洲羊毛被春秋空调被棉被双人被子单人被褥垫芯秋冬,https://item.taobao.com/item.htm?id=575825601800&ns=1&abbucket=10#detail,"公益宝贝,",红红红,红山楂不酸,202.00,8人收货,江苏 南通,好评率：99.69%,"100.00%,100.00%,87.84%,",淘宝c店,1钻
罗莱家纺羊毛被子被芯春秋被保暖加厚单人双人1.8米全棉水洗冬,https://detail.tmall.com/item.htm?id=575665040581&ns=1&abbucket=10,"天猫,",红红红,罗莱官方旗舰店,699.00,8人收货,江苏 南通,,"3.37%,8.65%,13.93%,",天猫店,
恋人水星家纺纯羊毛被子加厚冬被春秋被芯全棉单人双人夏凉纯棉,https://item.taobao.com/item.htm?id=576907653266&ns=1&abbucket=10#detail,"金牌卖家,公益宝贝,",红红红,晨阳家纺888,88.00,8人收货,江苏 南通,好评率：99.47%,"28.63%,40.73%,37.57%,",淘宝c店,1冠
恒源祥正品100%羊毛被加厚保暖冬被8斤10斤被子春秋单双人棉芯,https://item.taobao.com/item.htm?id=576602470748&ns=1&abbucket=10#detail,,蓝蓝蓝,第六感国际家居,108.00,8人收货,江苏 南通,好评率：99.55%,"14.67%,6.98%,13.14%,",淘宝c店,4钻
红豆家纺 蚕丝被羊毛被二合一子母被加厚保暖 双人冬四季芯,https://detail.tmall.com/item.htm?id=558549036503&ns=1&abbucket=10,"天猫,",蓝黄蓝,红豆家纺官方旗舰店,599.00,8人收货,,,"0.83%,0.00%,0.61%,",天猫店,
澳洲羊毛被春秋双单人学生宿舍被褥被子被芯棉被冬加厚保暖8斤,https://detail.tmall.com/item.htm?id=42560798575&ns=1&abbucket=10,"天猫,",蓝红红,伊沁家纺旗舰店,103.00,8人收货,江苏 南通,,"0.71%,1.16%,6.23%,",天猫店,
富安娜冬被被芯春秋被羊毛被5斤6斤8斤单人双人秋冬子白色粉色,https://item.taobao.com/item.htm?id=576791668856&ns=1&abbucket=10#detail,"公益宝贝,",红红红,砚飞188,219.00,8人收货,江苏 南通,好评率：100.00%,"100.00%,100.00%,100.00%,",淘宝c店,2心
全棉羊毛被100%纯羊毛被 被芯双人春秋棉被保暖加厚冬纯棉面料,https://item.taobao.com/item.htm?id=576329347871&ns=1&abbucket=10#detail,"金牌卖家,",红红红,苏伦嘎3611,179.00,8人收货,江苏 无锡,好评率：98.66%,"16.18%,41.07%,37.34%,",淘宝c店,2冠
羊毛被100%纯羊毛春秋加厚冬被保暖四季被1.5米1.8m芯子清仓,https://item.taobao.com/item.htm?id=562118657980&ns=1&abbucket=10#detail,"金牌卖家,",黄红红,随缘家居888,128.00,8人收货,江苏 南通,好评率：99.39%,"0.00%,5.86%,16.72%,",淘宝c店,5钻
水星家纺暖梦羊羔绒羊毛冬被加厚保暖双人羊毛被芯1.8米床,https://detail.tmall.com/item.htm?id=539389267074&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,399.00,8人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
恒源祥羊毛被单双人被芯秋冬100%澳洲羊毛被冬被加厚保暖学生子,https://detail.tmall.com/item.htm?id=35238708839&ns=1&abbucket=10,"天猫,公益宝贝,",红红红,恒源祥惠丹专卖店,399.00,8人收货,,,"6.85%,6.23%,7.11%,",天猫店,
小绵羊纯羊毛加厚冬被单双人学生宿舍冬季被子被芯保暖,https://detail.tmall.com/item.htm?id=575981183262&ns=1&abbucket=10,"天猫,",黄红红,小绵羊床品旗舰店,299.00,8人收货,上海,,"0.00%,14.49%,15.49%,",天猫店,
冬季加厚羊羔绒被子冬被被芯棉被羊毛被保暖正品羽丝绒双人羊绒,https://item.taobao.com/item.htm?id=525586898847&ns=1&abbucket=10#detail,,蓝蓝蓝,qcpowufei1,59.00,8人收货,江苏 南通,好评率：98.50%,"1.97%,1.20%,0.75%,",淘宝c店,4冠
水星家纺双人加厚保暖冬被冬季被子床上用品 暖韵羊毛冬芯,https://detail.tmall.com/item.htm?id=538832343383&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,499.00,8人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
恒源祥澳洲进口纯羊毛被子 加厚保暖冬被棉被春秋双人芯空调,https://item.taobao.com/item.htm?id=577069043236&ns=1&abbucket=10#detail,,红黄红,爱恋家纺8,89.00,8人收货,江苏 南通,好评率：99.44%,"100.00%,0.00%,100.00%,",淘宝c店,3钻
恒源祥正品澳洲100%纯羊毛被加厚保暖冬被单双人被芯10斤子清仓,https://item.taobao.com/item.htm?id=573479092380&ns=1&abbucket=10#detail,,红红红,兔汪汪4563,138.00,8人收货,江苏 南通,好评率：99.16%,"19.64%,28.57%,19.68%,",淘宝c店,3钻
富安娜家纺羊毛被子春秋蚕丝被子母被二合一被芯冬双人全棉单人,https://item.taobao.com/item.htm?id=557508509246&ns=1&abbucket=10#detail,"金牌卖家,",红红红,富安娜集团中山店,699.00,8人收货,,好评率：99.45%,"56.26%,54.41%,51.62%,",企业店铺,2钻
"亲亲购澳洲 羊毛被美丽诺Merino 冬被150*210,200*230,240 230",https://detail.tmall.com/item.htm?id=24281144671&ns=1&abbucket=10,"天猫,",红红红,qqingo亲亲购旗舰店,520.20,8人收货,上海,,"37.54%,40.99%,39.04%,",天猫店,
多喜爱被芯被子冬被羊毛被正品秋冬被1.5m1.8m床暖芯七孔冬,https://item.taobao.com/item.htm?id=41049852075&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,",红红红,幸福的王达,199.00,8人收货,上海,好评率：99.98%,"43.93%,46.22%,50.20%,",淘宝c店,2冠
正品100%羊毛被子新款加厚柔软羊羔绒被芯单双人春秋保暖冬10斤,https://item.taobao.com/item.htm?id=560366187584&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",蓝蓝红,jggg555,136.00,7人收货,江苏 南通,好评率：95.40%,"5.55%,4.60%,6.49%,",淘宝c店,1钻
恒源祥羊毛被100%纯羊毛冬被子加厚粉色10斤正品全棉澳洲羊绒芯,https://item.taobao.com/item.htm?id=576487433034&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,tb42274423,159.00,7人收货,广东 深圳,好评率：100.00%,"100.00%,100.00%,100.00%,",淘宝c店,1心
CASABLANCA/卡撒天娇三层加厚羊毛被芯保暖被褥单人双人厚子,https://detail.tmall.com/item.htm?id=557431520800&ns=1&abbucket=10,"天猫,公益宝贝,",红红红,卡撒天娇家纺旗舰店,538.00,7人收货,,,"1.16%,37.38%,36.42%,",天猫店,
优惠20元羊毛被冬被加厚驼色被保暖被子羊绒被单双人冬天丝棉芯,https://item.taobao.com/item.htm?id=571003828340&ns=1&abbucket=10#detail,,蓝红红,zimo101030,109.00,7人收货,江苏 南通,好评率：98.44%,"2.08%,10.36%,14.20%,",淘宝c店,4钻
多喜爱家纺床上用品暖意舒柔七孔羊毛被（粉）单双人羊毛子,https://detail.tmall.com/item.htm?id=40726936604&ns=1&abbucket=10,"天猫,",黄红红,多喜爱旗舰店,199.00,7人收货,上海,,"0.00%,2.79%,17.10%,",天猫店,
南极人冬季被子全棉加厚保暖澳洲羊毛被 100%纯羊毛芯双人冬,https://detail.tmall.com/item.htm?id=566894179734&ns=1&abbucket=10,"天猫,",黄红红,南极人伴伴专卖店,359.00,7人收货,上海,,"0.00%,6.87%,16.89%,",天猫店,
恒源祥羊毛被100%澳洲纯羊毛加厚保暖单双人纯棉羊绒春秋冬,https://item.taobao.com/item.htm?id=576970286993&ns=1&abbucket=10#detail,,红红红,居家宝贝家纺666,99.00,7人收货,上海,好评率：98.59%,"45.05%,77.97%,56.58%,",淘宝c店,5钻
恒源祥100%澳洲进口羊毛被全棉双人加厚春秋保暖被子冬芯正品,https://item.taobao.com/item.htm?id=557930942380&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,公益宝贝,",红红红,bainiaoshujiafang,599.00,7人收货,江苏 镇江,好评率：99.16%,"21.84%,20.92%,16.20%,",企业店铺,5钻
南极人家纺羊毛被子被芯加厚保暖8斤6斤冬被单双人春秋冬棉褥子,https://detail.tmall.com/item.htm?id=559594168857&ns=1&abbucket=10,"天猫,",蓝黄红,南极人倍荣专卖店,199.00,7人收货,,,"0.70%,0.00%,5.66%,",天猫店,
玖丝纯100%绵羊绒被子秋冬被加厚保暖被纯羊毛被芯全棉面料礼品,https://item.taobao.com/item.htm?id=577337413881&ns=1&abbucket=10#detail,"公益宝贝,",红红红,清河冰少,285.00,7人收货,河北 邢台,好评率：98.20%,"71.17%,65.32%,65.83%,",淘宝c店,4钻
水星家纺 珍藏欧洲羊毛春秋被芯加厚保暖双人冬被子床上用品冬季,https://item.taobao.com/item.htm?id=575828195934&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,",黄黄红,水星电子商务公司,239.00,7人收货,上海,好评率：98.92%,"0.00%,0.00%,4.65%,",企业店铺,5冠
恒源祥正品百分百加厚羊毛被冬被春秋被空调被子6斤8斤10斤包邮,https://item.taobao.com/item.htm?id=577982862372&ns=1&abbucket=10#detail,"公益宝贝,",红红红,1014丽,160.00,7人收货,江苏 南通,好评率：99.57%,"100.00%,100.00%,100.00%,",淘宝c店,5心
水星家纺澳洲羊毛被冬被加厚保暖双人被芯冬季被子1.8米床,https://detail.tmall.com/item.htm?id=547031190753&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,1399.00,7人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
水星家纺羊毛被臻品澳洲羊毛被加厚保暖双人被芯冬季被子1.8米床,https://detail.tmall.com/item.htm?id=565818955126&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,1599.00,7人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
礼品被子礼盒装驼毛被芯羊绒被子春秋薄被夏被会销批發活动赠品,https://item.taobao.com/item.htm?id=573615577998&ns=1&abbucket=10#detail,,蓝蓝蓝,乐购家居111,30.00,7人收货,江苏 南通,好评率：99.32%,"2.81%,2.35%,2.92%,",淘宝c店,2冠
猫猫 澳大利亚进口羊毛纯新羊毛秋冬被劲爆组 东方cj购物,https://item.taobao.com/item.htm?id=560841452744&ns=1&abbucket=10#detail,"金牌卖家,",红红红,秋天的麦浪888,259.00,7人收货,上海,好评率：99.75%,"60.18%,60.34%,58.49%,",淘宝c店,2冠
小绵羊英格兰羊毛加厚冬被褥双人学生宿舍被芯保暖单人纯子,https://item.taobao.com/item.htm?id=575958378334&ns=1&abbucket=10#detail,"公益宝贝,",红红红,懒贵族品牌店,399.00,7人收货,上海,好评率：100.00%,"100.00%,97.42%,100.00%,",淘宝c店,1钻
罗兰家纺纯羊毛冬被芯春秋冬天双单人加密加厚被子不含纤维,https://item.taobao.com/item.htm?id=18894752002&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,",红红红,shiningmyway,168.00,7人收货,江苏 南通,好评率：99.17%,"37.96%,44.67%,51.37%,",企业店铺,4冠
100%羊绒被子纯棉春秋被加厚保暖冬被单双人被羊毛芯学生褥,https://item.taobao.com/item.htm?id=540138247350&ns=1&abbucket=10#detail,"金牌卖家,15天退换,",红红红,万乐维特,369.00,7人收货,河北 邢台,好评率：99.94%,"71.05%,65.18%,50.10%,",企业店铺,4钻
清仓羊毛被芯澳大利亚纯羊毛单人双人被褥6斤冬被加厚保暖太空,https://item.taobao.com/item.htm?id=576517583986&ns=1&abbucket=10#detail,"金牌卖家,公益宝贝,",红红红,lijun201206,117.60,7人收货,江苏 南通,好评率：96.57%,"60.55%,52.55%,6.49%,",淘宝c店,4钻
Goldclip澳洲羊毛被家庭套装冬被被+2枕头,https://detail.tmall.com/item.htm?id=568837891032&ns=1&abbucket=10,"天猫guoji,",红红红,goldclip海外旗舰店,4097.00,6人收货,,,"83.87%,81.39%,66.51%,",天猫店,
水星家纺珍藏澳洲羊毛被芯加厚保暖双人保暖冬被子床上用品冬季,https://detail.tmall.com/item.htm?id=524701705879&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,539.00,6人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
博洋家纺 澳洲进口100%羊毛被子冬被保暖加厚全棉芯单双人秋冬,https://detail.tmall.com/item.htm?id=537824629886&ns=1&abbucket=10,"天猫,",黄红红,博洋家纺旗舰店,719.00,6人收货,浙江 宁波,,"0.00%,18.25%,25.06%,",天猫店,
水星家纺抗菌羊毛被子春秋被加厚保暖冬被冬季被芯澳美娜2018新品,https://item.taobao.com/item.htm?id=576231940077&ns=1&abbucket=10#detail,,红红红,anna7795096,389.00,6人收货,四川 成都,好评率：100.00%,"27.31%,27.14%,11.46%,",淘宝c店,4钻
水星家纺 羊毛柔丝二合一子母被 加厚冬被 羊毛·柔丝二合一2代,https://detail.tmall.com/item.htm?id=575860829575&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,499.00,6人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
羊毛被子春秋被冬被全棉被芯单人双人被褥学生宿舍特价6斤8斤棉,https://item.taobao.com/item.htm?id=575781579944&ns=1&abbucket=10#detail,"公益宝贝,",红红红,彭振涛19980716,88.00,6人收货,江苏 南通,好评率：100.00%,"87.79%,90.21%,90.35%,",淘宝c店,4心
小绵羊豪华新西兰羊毛冬被进口羊毛可水洗被双人被芯加厚保暖子,https://item.taobao.com/item.htm?id=554518301466&ns=1&abbucket=10#detail,"15天退换,",红红红,a7221361,599.20,6人收货,上海,好评率：99.33%,"4.69%,6.08%,5.32%,",淘宝c店,3冠
冬冬宝家纺防跑毛新品加厚保暖羊毛被芯秋冬季被子单双人学生包邮,https://detail.tmall.com/item.htm?id=559261403559&ns=1&abbucket=10,"天猫,",红红黄,冬冬宝家纺旗舰店,238.00,6人收货,,,"5.63%,1.85%,0.00%,",天猫店,
新西兰进口CRIA可瑞乐100%纯羊毛被四季被单双人春秋子保暖冬,https://item.taobao.com/item.htm?id=574008002144&ns=1&abbucket=10#detail,"全球购,金牌卖家,公益宝贝,",红红红,wesleyh,788.00,6人收货,上海,好评率：99.73%,"52.73%,59.39%,55.98%,",淘宝c店,4钻
北极绒家纺100%羊毛被冬被芯冬天被子春秋双人加厚保暖棉空调,https://detail.tmall.com/item.htm?id=559994251185&ns=1&abbucket=10,"天猫,",黄红黄,北极绒套件旗舰店,169.00,6人收货,上海,,"0.00%,0.64%,0.00%,",天猫店,
进口澳洲100%纯羊毛被子加厚保暖冬被羊绒被单双人春秋子母芯,https://item.taobao.com/item.htm?id=559037880787&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,专柜正品直销店11,96.00,6人收货,上海,好评率：99.75%,"53.37%,43.92%,44.74%,",淘宝c店,2钻
加厚保暖棉被羊羔绒法莱绒冬被学生单人双人宿舍冬季子芯,https://item.taobao.com/item.htm?id=577993146594&ns=1&abbucket=10#detail,,红红红,jiao911126,65.00,6人收货,江苏 南通,好评率：95.71%,"100.00%,100.00%,100.00%,",淘宝c店,4钻
加厚春秋季1.5米2.0m磨毛羊毛被芯保暖冬被单人双人春秋冬天子,https://item.taobao.com/item.htm?id=573900451928&ns=1&abbucket=10#detail,"金牌卖家,",红红红,勇艺8,88.00,6人收货,江苏 南通,好评率：99.76%,"35.44%,40.86%,46.61%,",淘宝c店,5钻
寒冬加厚纯羊毛被子冬被学生单人双人子母被芯2米1.5m2.2,https://item.taobao.com/item.htm?id=560548960556&ns=1&abbucket=10#detail,"15天退换,",蓝黄红,套件外贸店,135.00,6人收货,上海,好评率：98.76%,"0.66%,0.00%,14.21%,",企业店铺,1冠
恒源祥全棉羊毛被澳洲进口100%羊毛双人加厚保暖冬宿舍春秋,https://item.taobao.com/item.htm?id=577737264334&ns=1&abbucket=10#detail,"公益宝贝,",红红红,暖心梦家纺,108.00,6人收货,江苏 南通,好评率：98.41%,"100.00%,100.00%,100.00%,",淘宝c店,1钻
小绵羊冬被100%纯澳毛被芯磨毛冬天被子单双人床褥保暖加厚,https://detail.tmall.com/item.htm?id=537139193038&ns=1&abbucket=10,"天猫,",黄红红,小绵羊床品旗舰店,359.00,6人收货,上海,,"0.00%,14.49%,15.49%,",天猫店,
华锦添羊毛被100%纯羊毛保暖加厚冬被单双人羊绒被芯春秋子,https://detail.tmall.com/item.htm?id=575097876828&ns=1&abbucket=10,"天猫,",蓝蓝蓝,赛瑶家居专营店,119.00,6人收货,江苏 苏州,,"1.52%,1.66%,1.38%,",天猫店,
正品羊毛被100%纯羊毛春秋冬被子双人加厚保暖学生宿舍单人床芯,https://item.taobao.com/item.htm?id=557711026719&ns=1&abbucket=10#detail,"公益宝贝,",红红红,张成店铺,99.00,6人收货,上海,好评率：98.86%,"56.35%,86.87%,74.14%,",淘宝c店,3钻
水星家纺 新臻品羊毛被芯 冬季保暖透气被子加厚床上用品,https://detail.tmall.com/item.htm?id=542442176239&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,399.00,6人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
诗润姿8斤纯羊毛冬被 100%澳洲羊毛被加厚保暖被芯单双人春秋子,https://detail.tmall.com/item.htm?id=572688809879&ns=1&abbucket=10,"天猫,公益宝贝,",红红红,诗润姿家纺旗舰店,586.00,6人收货,,,"80.82%,66.28%,66.56%,",天猫店,
恒源祥全棉十孔云丝被加厚8斤冬被负离子羊毛被单双人1.8保暖子,https://detail.tmall.com/item.htm?id=14088025989&ns=1&abbucket=10,"天猫,",黄红红,合肥梦之家家居专营店,255.00,6人收货,,,"0.00%,17.34%,11.28%,",天猫店,
维科羊毛被双人被芯冬被1.5米棉被加厚保暖单人被1.8米床冬季子,https://detail.tmall.com/item.htm?id=539799991292&ns=1&abbucket=10,"天猫,",蓝蓝黄,维科婷优专卖店,119.00,6人收货,江苏 南通,,"0.63%,0.72%,0.00%,",天猫店,
水星家纺澳洲羊毛冬被加厚羊毛被单双人羊毛羊绒被芯冬季床上用品,https://detail.tmall.com/item.htm?id=523005595896&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,499.00,6人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
恒源祥家纺舒适羊毛被新西兰羊毛被子被芯被褥秋冬季加厚保暖冬,https://detail.tmall.com/item.htm?id=575457390302&ns=1&abbucket=10,"天猫,",黄红红,恒源祥家纺官方旗舰店,278.00,6人收货,上海,,"0.00%,12.49%,13.70%,",天猫店,
水星家纺 100%羊毛春秋被加厚纯羊毛保暖被芯珍藏欧洲羊毛春秋,https://detail.tmall.com/item.htm?id=575449724859&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,449.00,6人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
Goldclip澳洲羊毛被家庭套装四季被+2枕头,https://detail.tmall.com/item.htm?id=573273405360&ns=1&abbucket=10,"天猫guoji,",红红红,goldclip海外旗舰店,3797.00,6人收货,,,"83.87%,81.39%,66.51%,",天猫店,
小绵羊新西兰羊毛暖肤冬被纯羊毛冬季被子单双人加厚保暖子芯,https://item.taobao.com/item.htm?id=575923842384&ns=1&abbucket=10#detail,,红红红,a7221361,275.00,6人收货,上海,好评率：99.33%,"4.69%,6.08%,5.32%,",淘宝c店,3冠
羊羔绒被子冬被加厚保暖全棉一米五羊绒棉被芯6斤8斤单人床宿舍,https://item.taobao.com/item.htm?id=563074100910&ns=1&abbucket=10#detail,"公益宝贝,",蓝蓝蓝,ani19783,38.22,6人收货,浙江 温州,好评率：97.37%,"6.92%,5.79%,5.36%,",淘宝c店,2冠
南极人新西兰羊毛被子冬被加厚保暖棉被芯单人空调双人春秋褥,https://detail.tmall.com/item.htm?id=577840371264&ns=1&abbucket=10,"天猫,",蓝黄蓝,南极人雅梦专卖店,158.00,6人收货,,,"0.76%,0.00%,0.50%,",天猫店,
浪莎保暖羊毛被冬被加厚被子被芯双人空调棉被褥单人学生宿舍,https://detail.tmall.com/item.htm?id=558899408370&ns=1&abbucket=10,"天猫,",蓝蓝蓝,浪莎家纺旗舰店,148.00,6人收货,江苏 南通,,"1.36%,1.33%,1.40%,",天猫店,
水星家纺 澳洲羊毛春秋被加厚保暖双人被芯冬季被子1.8米床简芙蕾,https://detail.tmall.com/item.htm?id=570407810755&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,599.00,6人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
【微瑕疵】LOVO家纺 床上用品被芯被子加厚羊毛冬被新一代,https://item.taobao.com/item.htm?id=566710970458&ns=1&abbucket=10#detail,"金牌卖家,",红红红,罗莱家纺儿童直销店,208.45,6人收货,,好评率：98.82%,"52.63%,39.86%,39.70%,",企业店铺,2冠
宝缦家纺羊毛被纯羊毛冬被加厚双人被芯单人被子春秋 星星之恋,https://detail.tmall.com/item.htm?id=570517368212&ns=1&abbucket=10,"天猫,",红红红,宝缦旗舰店,329.00,6人收货,江苏 南通,,"7.25%,11.55%,12.06%,",天猫店,
恒源祥家纺 春秋被羊毛被子太空被加厚空调被羊毛被冬芯褥,https://detail.tmall.com/item.htm?id=556384734982&ns=1&abbucket=10,"天猫,",黄红红,恒源祥家纺官方旗舰店,278.00,6人收货,上海,,"0.00%,12.49%,13.70%,",天猫店,
100%澳洲纯羊毛被加厚保暖春秋冬被芯4斤单双人学生宿舍送枕头,https://item.taobao.com/item.htm?id=575618851787&ns=1&abbucket=10#detail,"公益宝贝,",红红红,睡玲珑家纺,159.00,6人收货,江苏 南通,好评率：100.00%,"79.33%,83.43%,85.66%,",企业店铺,1钻
吉人好梦100%纯羊毛澳大利亚进口羊毛被芯加厚保暖子冬,https://item.taobao.com/item.htm?id=577941228118&ns=1&abbucket=10#detail,"公益宝贝,",红红红,a961980563,239.00,6人收货,广东 广州,好评率：98.78%,"100.00%,100.00%,100.00%,",淘宝c店,5心
富安娜家纺圣之花澳洲羊毛春秋被子保暖被芯单人1.5双人1.8米床品,https://detail.tmall.com/item.htm?id=573456825229&ns=1&abbucket=10,"天猫,",黄黄红,富安娜官方旗舰店,339.00,5人收货,,,"0.00%,0.00%,7.22%,",天猫店,
多喜爱家纺加厚被芯羊毛冬被子全棉保暖双人被1+1尊享羊毛冬,https://detail.tmall.com/item.htm?id=35431078496&ns=1&abbucket=10,"天猫,",黄红红,多喜爱旗舰店,599.00,5人收货,上海,,"0.00%,2.79%,17.10%,",天猫店,
恒源祥集团澳洲进口100%纯羊毛被子全棉双人加厚保暖秋冬芯结婚,https://detail.tmall.com/item.htm?id=44839026215&ns=1&abbucket=10,"天猫,",红红红,fazeya彩羊梦沁园专卖店,498.00,5人收货,,,"19.61%,20.25%,15.27%,",天猫店,
【直营】herington进口保暖抗寒全美利奴羊毛双人冬季澳洲,https://detail.tmall.com/item.htm?id=556052158890&ns=1&abbucket=10,"天猫guoji,",红红红,天猫国际官方直营国内现货,1199.00,5人收货,,,"18.90%,35.18%,18.48%,",天猫店,
安睡宝哥特纯羊毛春秋被双人加厚冬被羊毛被子冬季保暖单人芯,https://detail.tmall.com/item.htm?id=523781009678&ns=1&abbucket=10,"天猫,",红红红,安睡宝旗舰店,329.00,5人收货,山东 临沂,,"24.26%,38.86%,40.85%,",天猫店,
恒源祥家纺 星级澳毛羊毛被秋冬单双人加厚保暖纯羊毛芯子,https://detail.tmall.com/item.htm?id=576175720049&ns=1&abbucket=10,"天猫,",黄红红,恒源祥家纺官方旗舰店,448.00,5人收货,上海,,"0.00%,12.49%,13.70%,",天猫店,
喜屋澳洲羊毛全棉羊毛被芯 单双人保暖冬被羊毛被子1.8米床春秋,https://detail.tmall.com/item.htm?id=41235215755&ns=1&abbucket=10,"天猫,",蓝黄红,喜屋家居旗舰店,449.00,5人收货,江苏 无锡,,"1.10%,0.00%,37.01%,",天猫店,
恒源祥四国进口100%羊毛被子加厚保暖冬被双人春秋芯棉空调,https://detail.tmall.com/item.htm?id=574482216170&ns=1&abbucket=10,"天猫,",黄红红,恒源祥海洋时代专卖店,368.00,5人收货,,,"0.00%,0.84%,8.16%,",天猫店,
冬被子保暖加厚双人冬天春秋被空调被棉被芯羊毛学生褥单人宿舍,https://item.taobao.com/item.htm?id=577056068757&ns=1&abbucket=10#detail,,红红红,独购行者,128.00,5人收货,江苏 南通,好评率：99.18%,"67.95%,61.45%,62.01%,",淘宝c店,2冠
情人罗莱家纺羊毛被加厚保暖纯羊毛秋冬季单双人被芯子床上用品,https://item.taobao.com/item.htm?id=557149310091&ns=1&abbucket=10#detail,"公益宝贝,",蓝蓝蓝,含影168,78.00,5人收货,江苏 南通,好评率：98.33%,"2.73%,1.32%,0.68%,",淘宝c店,4钻
罗莱家纺床上用品子母被子冬被芯四季被二合一羊毛蚕丝子两条装,https://detail.tmall.com/item.htm?id=542350011212&ns=1&abbucket=10,"天猫,",红红红,罗莱官方旗舰店,1299.00,5人收货,江苏 南通,,"3.37%,8.65%,13.93%,",天猫店,
2018新品特价羊羔绒冬被柔软被芯加厚保暖羊绒被单双人冬子10斤,https://item.taobao.com/item.htm?id=558387684538&ns=1&abbucket=10#detail,,蓝蓝蓝,佩佩家纺521,138.00,5人收货,江苏 南通,好评率：98.75%,"0.57%,1.24%,8.09%,",淘宝c店,3钻
南极人冬被羊毛被加厚保暖棉被单人5斤被子被芯秋冬季双人春秋,https://detail.tmall.com/item.htm?id=574120760979&ns=1&abbucket=10,"天猫,公益宝贝,",黄红红,南极人尊品专卖店,139.00,5人收货,,,"0.00%,6.53%,15.73%,",天猫店,
羊毛被子冬被加厚保暖冬季棉被单双人学生100%驼毛绒春秋芯10斤,https://item.taobao.com/item.htm?id=576185039129&ns=1&abbucket=10#detail,"公益宝贝,",红红红,爱家家居生活馆,75.00,5人收货,江苏 南通,好评率：98.77%,"3.23%,6.89%,31.19%,",淘宝c店,1钻
澳洲羊毛被100%纯羊毛加厚保暖冬被芯单双人春秋被学生棉礼品,https://item.taobao.com/item.htm?id=561902354861&ns=1&abbucket=10#detail,,红红红,依恋家纺123,78.00,5人收货,上海,好评率：93.42%,"100.00%,100.00%,100.00%,",淘宝c店,4钻
100%纯驼毛冬季10斤加厚保暖冬被单双人纯棉春秋芯床上用品,https://item.taobao.com/item.htm?id=576558422254&ns=1&abbucket=10#detail,,红红红,诗润姿家纺,316.00,5人收货,江苏 南通,好评率：98.50%,"73.01%,67.53%,68.01%,",淘宝c店,4钻
●外贸出口原单澳毛被100纯澳洲羊毛被子春秋被结婚芯加厚冬,https://item.taobao.com/item.htm?id=8629778001&ns=1&abbucket=10#detail,,红红红,和美阁家纺,288.00,5人收货,江苏 南京,好评率：99.72%,"60.55%,28.83%,6.49%,",淘宝c店,4钻
